,station_id,road_id,km,name,longitude,latitude,altitude,timezone
69,209,22,175,"км 175+887 а/д М-10 ""Россия""",56.856797,35.78639,137,3
70,210,22,135,"км 135+137 а/д М-10 ""Россия""",56.701,36.337,121,3
71,211,22,47,"км 47+710 а/д М-10 ""Россия""",56.068327,37.135976,213,3
72,212,22,196,"км 196+680 а/д М-10 ""Россия""",56.93869,35.511173,137,3
73,213,22,119,"км 119+640 а/д М-10 ""Россия""",56.591,36.4886,126,3
74,214,22,152,"км 152+950 а/д М-10 ""Россия""",56.78267,36.0982,200,3
75,215,22,94,"км 94+555 а/д М-10 ""Россия""",56.390617,36.662617,142,2
76,216,22,267,"км 267+721 а/д М-10 ""Россия""",57.369117,34.83477,162,3
77,217,22,318,"км 318+306 а/д М-10 ""Россия""",57.69087,34.2856,0,3
78,218,22,406,"км 406+953 а/д М-10 ""Россия""",58.03,32.986717,107,3
79,219,22,425,"км 425+630 а/д М-10 ""Россия""",58.14540945197088,32.760592103004456,112,3
80,220,22,501,"км 501+600 а/д М-10 ""Россия""",58.493032210962454,31.698254942893982,25,3
